leach_duration_days,cumulative_catalyst_addition_kg_t,control_pred_mean,control_pred_p10,control_pred_p90,catalyzed_pred_mean,catalyzed_pred_p10,catalyzed_pred_p90
301.0,0.023,22.263418197631836,18.565675735473633,25.96116065979004,22.263418197631836,18.565675735473633,25.96116065979004
308.0,0.023,22.47311019897461,18.738296508789062,26.207921981811523,22.47311019897461,18.738296508789062,26.207921981811523
315.0,0.051,22.680315017700195,18.90912437438965,26.45150375366211,22.680315017700195,18.90912437438965,26.45150375366211
322.0,0.063,22.885089874267578,19.07818603515625,26.691991806030273,22.885089874267578,19.07818603515625,26.691991806030273
329.0,0.063,23.08747100830078,19.245494842529297,26.929445266723633,23.08747100830078,19.245494842529297,26.929445266723633
336.0,0.063,23.28750228881836,19.41107749938965,27.16392707824707,23.28750228881836,19.41107749938965,27.16392707824707
343.0,0.08,23.4852237701416,19.574949264526367,27.395496368408203,23.4852237701416,19.574949264526367,27.395496368408203
350.0,0.086,23.680673599243164,19.73713493347168,27.624210357666016,23.680673599243164,19.73713493347168,27.624210357666016
357.0,0.101,23.873882293701172,19.89765167236328,27.850112915039062,23.873882293701172,19.89765167236328,27.850112915039062
364.0,0.107,24.06488609313965,20.056516647338867,28.07325553894043,24.06488609313965,20.056516647338867,28.07325553894043
371.0,0.115,24.25371551513672,20.2137508392334,28.293682098388672,24.25371551513672,20.2137508392334,28.293682098388672
378.0,0.116,24.440401077270508,20.369369506835938,28.511432647705078,24.440401077270508,20.369369506835938,28.511432647705078
385.0,0.116,24.624969482421875,20.523393630981445,28.726547241210938,24.624969482421875,20.523393630981445,28.726547241210938
392.0,0.116,24.807453155517578,20.67583656311035,28.939069747924805,24.807453155517578,20.67583656311035,28.939069747924805
399.0,0.123,24.987876892089844,20.826717376708984,29.14903450012207,24.987876892089844,20.826717376708984,29.14903450012207
406.0,0.132,25.166263580322266,20.976051330566406,29.356475830078125,25.166263580322266,20.976051330566406,29.356475830078125
413.0,0.132,25.34264373779297,21.123859405517578,29.561429977416992,25.34264373779297,21.123859405517578,29.561429977416992
420.0,0.146,25.517040252685547,21.27014923095703,29.76392936706543,25.517040252685547,21.27014923095703,29.76392936706543
427.0,0.149,25.689476013183594,21.414945602416992,29.964008331298828,25.689476013183594,21.414945602416992,29.964008331298828
434.0,0.149,25.8599796295166,21.558259963989258,30.161699295043945,25.8599796295166,21.558259963989258,30.161699295043945
441.0,0.163,26.028568267822266,21.70010757446289,30.357027053833008,26.028568267822266,21.70010757446289,30.357027053833008
448.0,0.173,26.19526481628418,21.84050178527832,30.550025939941406,26.19526481628418,21.84050178527832,30.550025939941406
455.0,0.181,26.360095977783203,21.979461669921875,30.7407283782959,26.360095977783203,21.979461669921875,30.7407283782959
462.0,0.186,26.523080825805664,22.117002487182617,30.929157257080078,26.523080825805664,22.117002487182617,30.929157257080078
469.0,0.192,26.684242248535156,22.253137588500977,31.115345001220703,26.684242248535156,22.253137588500977,31.115345001220703
476.0,0.196,26.843597412109375,22.38787841796875,31.29931640625,26.843597412109375,22.38787841796875,31.29931640625
483.0,0.202,27.001171112060547,22.521244049072266,31.48110008239746,27.001171112060547,22.521244049072266,31.48110008239746
490.0,0.207,27.156986236572266,22.653247833251953,31.660724639892578,27.156986236572266,22.653247833251953,31.660724639892578
497.0,0.212,27.311058044433594,22.78390121459961,31.838214874267578,27.311058044433594,22.78390121459961,31.838214874267578
504.0,0.217,27.463409423828125,22.913219451904297,32.01359939575195,27.463409423828125,22.913219451904297,32.01359939575195
511.0,0.223,27.614055633544922,23.041215896606445,32.186893463134766,27.614055633544922,23.041215896606445,32.186893463134766
518.0,0.227,27.763023376464844,23.167905807495117,32.35813903808594,27.763023376464844,23.167905807495117,32.35813903808594
525.0,0.233,27.910324096679688,23.29330062866211,32.527347564697266,27.910324096679688,23.29330062866211,32.527347564697266
532.0,0.237,28.055980682373047,23.417415618896484,32.69454574584961,28.055980682373047,23.417415618896484,32.69454574584961
539.0,0.245,28.20001220703125,23.54026222229004,32.859764099121094,28.200014114379883,23.54026222229004,32.859764099121094
546.0,0.251,28.342435836791992,23.661855697631836,33.023014068603516,28.342437744140625,23.661855697631836,33.02301788330078
553.0,0.257,28.4832706451416,23.782207489013672,33.18433380126953,28.4832763671875,23.782207489013672,33.18434524536133
560.0,0.262,28.622533798217773,23.901329040527344,33.3437385559082,28.622543334960938,23.901330947875977,33.34375762939453
567.0,0.269,28.760244369506836,24.01923370361328,33.50125503540039,28.760263442993164,24.019237518310547,33.50128936767578
574.0,0.275,28.89641761779785,24.135936737060547,33.656898498535156,28.896455764770508,24.135944366455078,33.65696716308594
581.0,0.279,29.03107261657715,24.251447677612305,33.81069564819336,29.031147003173828,24.25146484375,33.810829162597656
588.0,0.289,29.164226531982422,24.365779876708984,33.96267318725586,29.164371490478516,24.36581039428711,33.962928771972656
595.0,0.297,29.295894622802734,24.47894287109375,34.11284637451172,29.29617691040039,24.47900390625,34.11334991455078
602.0,0.303,29.426095962524414,24.590953826904297,34.26123809814453,29.4266414642334,24.591068267822266,34.26221466064453
609.0,0.311,29.55484390258789,24.70181655883789,34.40787124633789,29.555908203125,24.702041625976562,34.40977478027344
616.0,0.317,29.682157516479492,24.81155014038086,34.552764892578125,29.684221267700195,24.811986923217773,34.556453704833984
623.0,0.323,29.808053970336914,24.920164108276367,34.69594192504883,29.812049865722656,24.921010971069336,34.703086853027344
630.0,0.328,29.932546615600586,25.027671813964844,34.83742141723633,29.940248489379883,25.0293025970459,34.851192474365234
637.0,0.333,30.055654525756836,25.134082794189453,34.97722625732422,30.070470809936523,25.137224197387695,35.003719329833984
644.0,0.336,30.177387237548828,25.239404678344727,35.1153678894043,30.205612182617188,25.245393753051758,35.16583251953125
651.0,0.344,30.29776382446289,25.343652725219727,35.25187301635742,30.35187339782715,25.35515022277832,35.34859848022461
658.0,0.35,30.416799545288086,25.446836471557617,35.38676071166992,30.518564224243164,25.468503952026367,35.56862258911133
665.0,0.358,30.53451156616211,25.54897117614746,35.52005386352539,30.72233772277832,25.589115142822266,35.855560302734375
672.0,0.364,30.65091323852539,25.650060653686523,35.651763916015625,30.982105255126953,25.7213191986084,36.24289321899414
679.0,0.374,30.76601219177246,25.7501163482666,35.78190612792969,31.319984436035156,25.87076187133789,36.76920700073242
686.0,0.378,30.879837036132812,25.849157333374023,35.91051483154297,31.717864990234375,26.035734176635742,37.39999771118164
693.0,0.386,30.99239158630371,25.94718360900879,36.03759765625,32.15265655517578,26.215885162353516,38.08942794799805
700.0,0.392,31.10369300842285,26.044212341308594,36.16317367553711,32.561851501464844,26.40543556213379,38.71826934814453
707.0,0.397,31.213756561279297,26.14025115966797,36.287261962890625,32.919857025146484,26.6104736328125,39.22924041748047
714.0,0.401,31.322593688964844,26.235309600830078,36.40987777709961,33.23405456542969,26.847436904907227,39.62067413330078
721.0,0.408,31.430219650268555,26.32940101623535,36.53104019165039,33.54692840576172,27.141271591186523,39.95258712768555
728.0,0.412,31.53664779663086,26.422529220581055,36.6507682800293,33.84777069091797,27.484397888183594,40.21113967895508
735.0,0.42,31.64189338684082,26.51470947265625,36.76907730102539,34.16695022583008,27.863689422607422,40.47020721435547
742.0,0.422,31.745967864990234,26.60594940185547,36.885986328125,34.43112564086914,28.2032470703125,40.65900421142578
749.0,0.428,31.8488826751709,26.696260452270508,37.00150680541992,34.681610107421875,28.500659942626953,40.8625602722168
756.0,0.433,31.950653076171875,26.785648345947266,37.115657806396484,34.889892578125,28.73515510559082,41.04462814331055
763.0,0.441,32.051292419433594,26.874126434326172,37.228458404541016,35.08915328979492,28.936227798461914,41.2420768737793
770.0,0.447,32.15081024169922,26.961702346801758,37.33992004394531,35.25766372680664,29.098499298095703,41.41682815551758
777.0,0.454,32.24922561645508,27.048385620117188,37.45006561279297,35.42122268676758,29.246767044067383,41.59567642211914
784.0,0.46,32.34654235839844,27.134183883666992,37.558902740478516,35.57160949707031,29.379846572875977,41.763370513916016
791.0,0.46,32.442779541015625,27.2191104888916,37.66645050048828,35.67948913574219,29.47958755493164,41.879390716552734
798.0,0.46,32.53794860839844,27.30316925048828,37.772727966308594,35.78446960449219,29.575353622436523,41.993587493896484
805.0,0.46,32.632057189941406,27.386371612548828,37.877742767333984,35.887393951416016,29.668596267700195,42.1061897277832
812.0,0.46,32.725120544433594,27.468727111816406,37.98151397705078,35.98870849609375,29.760082244873047,42.21733856201172
819.0,0.46,32.8171501159668,27.550241470336914,38.08406066894531,36.08866882324219,29.850223541259766,42.327110290527344
826.0,0.46,32.90815353393555,27.630924224853516,38.18538284301758,36.18739318847656,29.93924331665039,42.435546875
833.0,0.46,32.99814987182617,27.710786819458008,38.2855110168457,36.284976959228516,30.027265548706055,42.542686462402344
840.0,0.46,33.0871467590332,27.789836883544922,38.38445281982422,36.38145446777344,30.11435317993164,42.648555755615234
847.0,0.47,33.17515182495117,27.868080139160156,38.48222351074219,36.541900634765625,30.247066497802734,42.83673095703125
854.0,0.474,33.26218032836914,27.945526123046875,38.578834533691406,36.66239929199219,30.351177215576172,42.97361755371094
861.0,0.482,33.348243713378906,28.022180557250977,38.67430114746094,36.807899475097656,30.473161697387695,43.14263916015625
868.0,0.488,33.433349609375,28.098058700561523,38.76863479614258,36.93946838378906,30.585132598876953,43.29380416870117
875.0,0.496,33.51750946044922,28.173160552978516,38.86185836791992,37.08305740356445,30.705718994140625,43.46039581298828
882.0,0.502,33.60073471069336,28.24749755859375,38.95397186279297,37.21274948120117,30.81629180908203,43.60920715332031
889.0,0.51,33.68303680419922,28.321081161499023,39.04499816894531,37.354461669921875,30.93551254272461,43.773414611816406
896.0,0.516,33.764427185058594,28.393909454345703,39.134944915771484,37.48231506347656,31.04471206665039,43.91991424560547
903.0,0.524,33.84490966796875,28.46599769592285,39.22382354736328,37.6221809387207,31.162582397460938,44.08177947998047
910.0,0.53,33.924503326416016,28.537353515625,39.31165313720703,37.748226165771484,31.270435333251953,44.22601318359375
917.0,0.535,34.003211975097656,28.607982635498047,39.398441314697266,37.86692810058594,31.372934341430664,44.360923767089844
924.0,0.54,34.08104705810547,28.67789077758789,39.48420333862305,37.9847526550293,31.47475814819336,44.494747161865234
931.0,0.547,34.15802001953125,28.747087478637695,39.568946838378906,38.11460876464844,31.58530044555664,44.643917083740234
938.0,0.55,34.234134674072266,28.815580368041992,39.652687072753906,38.217803955078125,31.67640495300293,44.75920104980469
945.0,0.557,34.30940628051758,28.88337516784668,39.735435485839844,38.345947265625,31.7856502532959,44.9062385559082
952.0,0.56,34.38384246826172,28.95047950744629,39.81720733642578,38.447444915771484,31.875423431396484,45.019466400146484
959.0,0.567,34.457454681396484,29.01689910888672,39.89801025390625,38.57390594482422,31.9833927154541,45.16441345214844
966.0,0.57,34.530250549316406,29.0826473236084,39.97785568237305,38.673744201660156,32.071861267089844,45.27562713623047
973.0,0.577,34.602237701416016,29.147722244262695,40.05675506591797,38.798553466796875,32.17858123779297,45.418521881103516
980.0,0.58,34.673431396484375,29.21213722229004,40.13472366333008,38.896766662597656,32.26576232910156,45.527767181396484
987.0,0.587,34.743831634521484,29.275894165039062,40.21176528930664,39.01995086669922,32.371246337890625,45.66865158081055
994.0,0.589,34.81344985961914,29.33900260925293,40.28789520263672,39.11012268066406,32.45242691040039,45.767822265625
1001.0,0.596,34.88229751586914,29.40146827697754,40.36312484741211,39.23172378540039,32.556697845458984,45.9067497253418
1008.0,0.599,34.95038604736328,29.463300704956055,40.43746566772461,39.326778411865234,32.64137649536133,46.012176513671875
1015.0,0.606,35.0177116394043,29.524499893188477,40.51092529296875,39.44681167602539,32.74445724487305,46.149166107177734
1022.0,0.609,35.08429718017578,29.585079193115234,40.58351516723633,39.54032897949219,32.82791519165039,46.252742767333984
1029.0,0.613,35.150142669677734,29.64504051208496,40.655242919921875,39.6395263671875,32.915531158447266,46.363525390625
1036.0,0.615,35.21525955200195,29.704391479492188,40.72612762451172,39.725093841552734,32.993003845214844,46.457183837890625
1043.0,0.615,35.27965545654297,29.763139724731445,40.796173095703125,39.797000885009766,33.06028366088867,46.53371810913086
1050.0,0.615,35.34333801269531,29.821290969848633,40.86538314819336,39.86812973022461,33.12690734863281,46.609352111816406
1057.0,0.615,35.40631103515625,29.878849029541016,40.93377685546875,39.9384880065918,33.1928825378418,46.68409729003906
1064.0,0.615,35.468589782714844,29.935819625854492,41.00136184692383,40.00808334350586,33.258209228515625,46.757957458496094
1071.0,0.615,35.530181884765625,29.99221420288086,41.06814956665039,40.07693099975586,33.322906494140625,46.830955505371094
1078.0,0.615,35.591087341308594,30.048032760620117,41.1341438293457,40.1450309753418,33.38697052001953,46.90309524536133
1085.0,0.615,35.65132141113281,30.103282928466797,41.19935607910156,40.21239471435547,33.450408935546875,46.9743766784668
1092.0,0.615,35.71088409423828,30.15797233581543,41.263797760009766,40.279029846191406,33.51322937011719,47.044830322265625
1099.0,0.615,35.76979064941406,30.21210479736328,41.327476501464844,40.344947814941406,33.575439453125,47.11445236206055
1106.0,0.615,35.82804870605469,30.265687942504883,41.390403747558594,40.41014862060547,33.63704299926758,47.18325424194336
1113.0,0.615,35.88565444946289,30.3187255859375,41.45258712768555,40.474647521972656,33.69804763793945,47.251251220703125
1120.0,0.615,35.942626953125,30.371225357055664,41.51403045654297,40.5384521484375,33.758460998535156,47.31843948364258
1127.0,0.615,35.99897003173828,30.423187255859375,41.57474899291992,40.6015625,33.81827926635742,47.384849548339844
1134.0,0.615,36.0546875,30.47462272644043,41.63475036621094,40.66399383544922,33.87752151489258,47.450469970703125
1141.0,0.615,36.10978698730469,30.525537490844727,41.69403839111328,40.72575378417969,33.936187744140625,47.515323638916016
1148.0,0.615,36.16427993774414,30.575929641723633,41.752628326416016,40.786842346191406,33.99427795410156,47.579410552978516
1155.0,0.615,36.218170166015625,30.625812530517578,41.810523986816406,40.8472785949707,34.05180740356445,47.64274978637695
1162.0,0.615,36.271461486816406,30.675188064575195,41.86773681640625,40.90705871582031,34.10877227783203,47.705345153808594
1169.0,0.615,36.32416534423828,30.724061965942383,41.92427062988281,40.96619415283203,34.16518783569336,47.76719665527344
1176.0,0.615,36.37628936767578,30.772438049316406,41.98013687133789,41.024688720703125,34.22105026245117,47.82832717895508
1183.0,0.615,36.427833557128906,30.820322036743164,42.03533935546875,41.082557678222656,34.27637481689453,47.888736724853516
1190.0,0.615,36.47880554199219,30.867719650268555,42.08989334106445,41.139801025390625,34.33115768432617,47.94844055175781
1197.0,0.615,36.52921676635742,30.914634704589844,42.143798828125,41.1964225769043,34.38541030883789,48.0074348449707
1204.0,0.615,36.579071044921875,30.961074829101562,42.19706726074219,41.252437591552734,34.43913269042969,48.06574249267578
1211.0,0.615,36.62837219238281,31.00704002380371,42.24970626831055,41.30784606933594,34.492332458496094,48.12336349487305
1218.0,0.615,36.67713165283203,31.052539825439453,42.30172348022461,41.36266326904297,34.545013427734375,48.1803092956543
1225.0,0.615,36.72534942626953,31.097576141357422,42.35312271118164,41.41688537597656,34.59718704223633,48.23657989501953
1232.0,0.615,36.77303695678711,31.14215850830078,42.4039192199707,41.470523834228516,34.64885330200195,48.29219436645508
1239.0,0.615,36.820194244384766,31.186281204223633,42.45410919189453,41.523582458496094,34.70001220703125,48.34715270996094
1246.0,0.615,36.86683654785156,31.229961395263672,42.50370788574219,41.576072692871094,34.75067901611328,48.40147018432617
1253.0,0.615,36.91295623779297,31.273195266723633,42.55271911621094,41.62799835205078,34.80085372924805,48.455142974853516
1260.0,0.615,36.95857238769531,31.315990447998047,42.60115051269531,41.67936706542969,34.85054016113281,48.5081901550293
1267.0,0.615,37.00367736816406,31.358348846435547,42.649009704589844,41.73017501831055,34.89973831176758,48.56060791015625
1274.0,0.615,37.04829025268555,31.400278091430664,42.69630432128906,41.78044509887695,34.94846725463867,48.61241912841797
1281.0,0.615,37.092411041259766,31.441781997680664,42.743038177490234,41.830169677734375,34.99672317504883,48.66361999511719
1288.0,0.615,37.13603973388672,31.48286247253418,42.78921890258789,41.879356384277344,35.04450225830078,48.71421432495117
1295.0,0.615,37.17919158935547,31.523527145385742,42.83485412597656,41.92802047729492,35.09182357788086,48.764217376708984
1302.0,0.615,37.221866607666016,31.563779830932617,42.87995147705078,41.97616195678711,35.13868713378906,48.813636779785156
1309.0,0.615,37.264068603515625,31.603620529174805,42.92451477050781,42.023780822753906,35.185089111328125,48.86247253417969
1316.0,0.615,37.30580520629883,31.64305877685547,42.96855163574219,42.070892333984375,35.231048583984375,48.91073226928711
1323.0,0.615,37.347084045410156,31.682096481323242,43.01206588745117,42.11749267578125,35.27655792236328,48.95842742919922
1330.0,0.615,37.38790512084961,31.72073745727539,43.05506896972656,42.163597106933594,35.321624755859375,49.00556564331055
1337.0,0.615,37.42827224731445,31.75898551940918,43.097557067871094,42.209197998046875,35.36625289916992,49.052146911621094
1344.0,0.615,37.468196868896484,31.796844482421875,43.139549255371094,42.25431823730469,35.41045379638672,49.09817886352539
1351.0,0.615,37.50768280029297,31.834320068359375,43.1810417175293,42.2989501953125,35.4542236328125,49.143672943115234
1358.0,0.615,37.54673385620117,31.871414184570312,43.222049713134766,42.343101501464844,35.49756622314453,49.188636779785156
1365.0,0.615,37.585350036621094,31.908130645751953,43.262569427490234,42.38677978515625,35.540489196777344,49.233070373535156
1372.0,0.615,37.62354278564453,31.944477081298828,43.3026123046875,42.42999267578125,35.58300018310547,49.276981353759766
1379.0,0.615,37.66131591796875,31.980453491210938,43.3421745300293,42.47273635864258,35.62509536743164,49.320377349853516
1386.0,0.615,37.69866943359375,32.01606369018555,43.38127899169922,42.5150260925293,35.66678237915039,49.36326599121094
1393.0,0.615,37.73561096191406,32.05131149291992,43.41991424560547,42.55685806274414,35.708065032958984,49.40564727783203
1400.0,0.615,37.77214813232422,32.086204528808594,43.45809555053711,42.598243713378906,35.74895095825195,49.44753646850586
1407.0,0.615,37.80828094482422,32.12074279785156,43.495819091796875,42.639183044433594,35.7894401550293,49.488929748535156
1414.0,0.615,37.844017028808594,32.15492630004883,43.53310775756836,42.6796875,35.829532623291016,49.52983856201172
1421.0,0.615,37.879356384277344,32.18876647949219,43.5699462890625,42.719757080078125,35.869239807128906,49.57027053833008
1428.0,0.615,37.914310455322266,32.22226333618164,43.60635757446289,42.75939178466797,35.90856170654297,49.610225677490234
1435.0,0.615,37.948875427246094,32.25541687011719,43.642330169677734,42.798606872558594,35.94750213623047,49.64971160888672
1442.0,0.615,37.983062744140625,32.288238525390625,43.677886962890625,42.83740234375,35.98606491088867,49.68873596191406
1449.0,0.615,38.016868591308594,32.32072448730469,43.713016510009766,42.87577819824219,36.02425765991211,49.727298736572266
1456.0,0.615,38.05030822753906,32.35287857055664,43.74773406982422,42.91374588012695,36.062076568603516,49.76541519165039
1463.0,0.615,38.083377838134766,32.384708404541016,43.78204345703125,42.95130920410156,36.09953308105469,49.80308151245117
1470.0,0.615,38.11608123779297,32.41621780395508,43.81594467163086,42.98846435546875,36.13662338256836,49.84030532836914
1477.0,0.615,38.14842224121094,32.44740295410156,43.84944534301758,43.02522277832031,36.17335510253906,49.87709426879883
1484.0,0.615,38.18041229248047,32.478275299072266,43.88254928588867,43.06159210205078,36.20973205566406,49.913448333740234
1491.0,0.615,38.2120475769043,32.50883102416992,43.91526412963867,43.09756851196289,36.245758056640625,49.949378967285156
1498.0,0.615,38.24333190917969,32.53907775878906,43.94758987426758,43.13315963745117,36.281436920166016,49.98488235473633
1505.0,0.615,38.27427673339844,32.56901931762695,43.97953414916992,43.168373107910156,36.316768646240234,50.01997756958008
1512.0,0.615,38.30487823486328,32.598655700683594,44.011104583740234,43.203208923339844,36.35175704956055,50.054656982421875
1519.0,0.615,38.335147857666016,32.627994537353516,44.042301177978516,43.2376708984375,36.38640594482422,50.08893585205078
1526.0,0.615,38.365081787109375,32.65703201293945,44.07312774658203,43.271766662597656,36.42072677612305,50.12281036376953
1533.0,0.615,38.394683837890625,32.68577575683594,44.10359191894531,43.30549621582031,36.454708099365234,50.15628433227539
1540.0,0.615,38.42395782470703,32.71422576904297,44.13369369506836,43.3388671875,36.488365173339844,50.18936538696289
1547.0,0.615,38.45291519165039,32.74238967895508,44.1634407043457,43.37187957763672,36.521697998046875,50.22206115722656
1554.0,0.615,38.48155212402344,32.770267486572266,44.19283676147461,43.404541015625,36.55470275878906,50.25437545776367
1561.0,0.615,38.5098762512207,32.7978630065918,44.221885681152344,43.436851501464844,36.5873908996582,50.28630828857422
1568.0,0.615,38.53788375854492,32.82517623901367,44.25059127807617,43.46881866455078,36.61976623535156,50.317867279052734
1575.0,0.615,38.565589904785156,32.85221862792969,44.27895736694336,43.50044250488281,36.651824951171875,50.349056243896484
1582.0,0.615,38.592987060546875,32.87898254394531,44.30699157714844,43.5317268371582,36.68357467651367,50.379878997802734
1589.0,0.615,38.62008285522461,32.90547561645508,44.33469009399414,43.56268310546875,36.71501922607422,50.410343170166016
1596.0,0.615,38.646881103515625,32.931697845458984,44.36206817626953,43.59330368041992,36.746158599853516,50.44044876098633
1603.0,0.615,38.67338562011719,32.95765686035156,44.38911819458008,43.623600006103516,36.77699279785156,50.47020721435547
1610.0,0.615,38.69960021972656,32.98334884643555,44.41584777832031,43.65357208251953,36.807533264160156,50.49960708618164
1617.0,0.615,38.72552490234375,33.008785247802734,44.442264556884766,43.6832275390625,36.8377799987793,50.52867126464844
1624.0,0.615,38.751163482666016,33.03396224975586,44.46836471557617,43.712562561035156,36.86773681640625,50.55738830566406
1631.0,0.615,38.77652359008789,33.05888366699219,44.494163513183594,43.74158477783203,36.89739990234375,50.58576965332031
1638.0,0.615,38.801605224609375,33.08354949951172,44.519657135009766,43.770301818847656,36.92677688598633,50.613826751708984
1645.0,0.615,38.82640838623047,33.107967376708984,44.54484558105469,43.798709869384766,36.95587158203125,50.64154815673828
1652.0,0.615,38.85093688964844,33.13214111328125,44.56973648071289,43.82681655883789,36.98468780517578,50.6689453125
1659.0,0.615,38.87520217895508,33.15606689453125,44.594337463378906,43.85462188720703,37.013221740722656,50.696022033691406
1666.0,0.615,38.89919662475586,33.17974853515625,44.61864471435547,43.88213348388672,37.041481018066406,50.722782135009766
1673.0,0.615,38.92292785644531,33.20319366455078,44.64266586303711,43.90935134887695,37.0694694519043,50.749229431152344
1680.0,0.615,38.9463996887207,33.22639846801758,44.666404724121094,43.936279296875,37.09718704223633,50.775367736816406
